@                  ,@   ,amend             ,4
@                  ,@   ,amended           ,9
@                  ,@   ,amending          ,1
@                  ,@   ,amends            ,0
amendment          ,NoC ,%                 ,28
@                  ,@   ,amendment         ,18
@                  ,@   ,amendments        ,10
America            ,NoP ,%                 ,103
@                  ,@   ,America           ,103
@                  ,@   ,Americas          ,0
American           ,Adj ,:                 ,157
American           ,NoC ,%                 ,35
@                  ,@   ,American          ,7
@                  ,@   ,Americans         ,28
amid               ,Prep,:                 ,11
amnesty            ,NoC ,%                 ,11
@                  ,@   ,amnesties         ,0
@                  ,@   ,amnesty           ,11
among              ,Prep,:                 ,229
amongst            ,Prep,:                 ,45
amount             ,NoC ,%                 ,171
@                  ,@   ,amount            ,146
@                  ,@   ,amounts           ,25
amount             ,Verb,%                 ,27
@                  ,@   ,amount            ,8
@                  ,@   ,amounted          ,10
@                  ,@   ,amounting         ,4
@                  ,@   ,amounts           ,6
amusement          ,NoC ,%                 ,11
@                  ,@   ,amusement         ,10
@                  ,@   ,amusements        ,1
an                 ,Det ,:                 ,3430
analogy            ,NoC ,%                 ,11
@                  ,@   ,analogies         ,2
@                  ,@   ,analogy           ,9
analyse            ,Verb,%                 ,42
@                  ,@   ,analyse           ,13
@                  ,@   ,analysed          ,18
@                  ,@   ,analyses          ,2
@                  ,@   ,analysing         ,9
analysis           ,NoC ,%                 ,143
@                  ,@   ,analyses          ,11
@                  ,@   ,analysis          ,132
analyst            ,NoC ,%                 ,19
@                  ,@   ,analyst           ,8
@                  ,@   ,analysts          ,11
ANC                ,NoP ,%                 ,10
@                  ,@   ,ANC               ,10
ancestor           ,NoC ,%                 ,13
@                  ,@   ,ancestor          ,4
@                  ,@   ,ancestors         ,9
ancient            ,Adj ,:                 ,50
and                ,Conj,:                 ,26817
and/or             ,Conj,:                 ,19
and so on          ,Adv ,:                 ,49
Anderson           ,NoP ,%                 ,15
@                  ,@   ,Anderson          ,15
Andrew             ,NoP ,:                 ,45
Andy               ,NoP ,%                 ,28
@                  ,@   ,Andy              ,28
angel              ,NoC ,%                 ,22
@                  ,@   ,angel             ,14
@                  ,@   ,angels            ,8
Angela             ,NoP ,:                 ,11
Angeles            ,NoP-,:                 ,11
anger              ,NoC ,%                 ,34
@                  ,@   ,anger             ,33
@                  ,@   ,angers            ,0
angle              ,NoC ,%                 ,37
@                  ,@   ,angle             ,24
@                  ,@   ,angles            ,13
angrily            ,Adv ,:                 ,11
angry              ,Adj ,%                 ,43
@                  ,@   ,angrier           ,1
@                  ,@   ,angry             ,42
animal             ,NoC ,%                 ,153
@                  ,@   ,animal            ,67
@                  ,@   ,animals           ,86
ankle              ,NoC ,%                 ,15
@                  ,@   ,ankle             ,10
@                  ,@   ,ankles            ,5
Ann                ,NoP ,%                 ,20
@                  ,@   ,Ann               ,19
@                  ,@   ,Anns              ,0
Anna               ,NoP ,%                 ,28
@                  ,@   ,Anna              ,28
Anne               ,NoP ,%                 ,44
@                  ,@   ,Anne              ,44
Annie              ,NoP ,:                 ,11
anniversary        ,NoC ,%                 ,21
@                  ,@   ,anniversaries     ,1
@                  ,@   ,anniversary       ,21
announce           ,Verb,%                 ,127
@                  ,@   ,announce          ,11
@                  ,@   ,announced         ,105
@                  ,@   ,announces         ,3
@                  ,@   ,announcing        ,8
announcement       ,NoC ,%                 ,28
@                  ,@   ,announcement      ,24
@                  ,@   ,announcements     ,4
annual             ,Adj ,:                 ,81
annually           ,Adv ,:                 ,11
anonymous          ,Adj ,:                 ,12
another            ,DetP,:                 ,581
answer             ,NoC ,%                 ,124
@                  ,@   ,answer            ,92
@                  ,@   ,answers           ,32
answer             ,Verb,%                 ,103
@                  ,@   ,answer            ,52
@                  ,@   ,answered          ,38
@                  ,@   ,answering         ,8
@                  ,@   ,answers           ,5
ant                ,NoC ,%                 ,10
@                  ,@   ,ant               ,4
@                  ,@   ,ants              ,6
Anthony            ,NoP ,%                 ,24
@                  ,@   ,Anthony           ,24
antibody           ,NoC ,%                 ,16
@                  ,@   ,antibodies        ,8
@                  ,@   ,antibody          ,8
